Statistical profiling result from isolate-0x140008000-46289-v8.log, (7037 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  RegExp: ^text\/|^application\/(javascript|json)
      1    0.0%    0.0%  RegExp: ^\/images\/?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^\/api\/auth\/?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^[A-Za-z0-9][A-Za-z0-9!#$&^_-]{0,126}$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^ *([A-Za-z0-9][A-Za-z0-9!#$&^_-]{0,126})\/([A-Za-z0-9][A-Za-z0-9!#$&^_.+-]{0,126}) *$
      1    0.0%    0.0%  RegExp: \x20{2}
      1    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff] {1}
      1    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.0%  RegExp: [\/<\(]([^:\/]+):(\d+):(?:\d+)\)?\s*$
      1    0.0%    0.0%  RegExp: :\d{4}$|[^0-9a-z]
      1    0.0%    0.0%  LazyCompile: *write_ node:_http_outgoing:868:16
      1    0.0%    0.0%  LazyCompile: *writeHead node:_http_server:342:19
      1    0.0%    0.0%  LazyCompile: *write node:buffer:637:12
      1    0.0%    0.0%  LazyCompile: *slice node:buffer:638:12
      1    0.0%    0.0%  LazyCompile: *set node:internal/streams/readable:110:8
      1    0.0%    0.0%  LazyCompile: *send /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:111:25
      1    0.0%    0.0%  LazyCompile: *readPackageScope node:internal/modules/package_json_reader:148:26
      1    0.0%    0.0%  LazyCompile: *parserOnHeadersComplete node:_http_common:72:33
      1    0.0%    0.0%  LazyCompile: *parse /Users/alexsandr/Downloads/blog-app_2/api/node_modules/vary/index.js:96:16
      1    0.0%    0.0%  LazyCompile: *isValid /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/objectid.js:340:36
      1    0.0%    0.0%  LazyCompile: *header /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/response.js:777:29
      1    0.0%    0.0%  LazyCompile: *hasAspect /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/operations/operation.js:32:12
      1    0.0%    0.0%  LazyCompile: *get node:internal/streams/readable:1196:8
      1    0.0%    0.0%  LazyCompile: *flow node:internal/streams/readable:1061:14
      1    0.0%    0.0%  LazyCompile: *exports.isObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mquery/lib/utils.js:279:43
      1    0.0%    0.0%  LazyCompile: *endReadableNT node:internal/streams/readable:1393:23
      1    0.0%    0.0%  LazyCompile: *emitCloseNT node:internal/streams/destroy:120:21
      1    0.0%    0.0%  LazyCompile: *emit node:events:464:44
      1    0.0%    0.0%  LazyCompile: *dirname node:path:1274:10
      1    0.0%    0.0%  LazyCompile: *debug /Users/alexsandr/Downloads/blog-app_2/api/node_modules/body-parser/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.0%  LazyCompile: *callback node:internal/streams/writable:553:44
      1    0.0%    0.0%  LazyCompile: *applySchemaTypeTransforms /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:3734:35
      1    0.0%    0.0%  LazyCompile: *applyHeaders /Users/alexsandr/Downloads/blog-app_2/api/node_modules/cors/lib/index.js:144:24
      1    0.0%    0.0%  LazyCompile: *app.<computed> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/application.js:490:25
      1    0.0%    0.0%  LazyCompile: *addListener node:events:608:58
      1    0.0%    0.0%  LazyCompile: *_write node:internal/streams/writable:286:16
      1    0.0%    0.0%  LazyCompile: *_copyActual node:buffer:244:21
      1    0.0%    0.0%  LazyCompile: *_copy node:buffer:208:15
      1    0.0%    0.0%  LazyCompile: *SchemaString.cast /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/string.js:582:39
      1    0.0%    0.0%  LazyCompile: *SchemaArray.cast /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/array.js:323:38
      1    0.0%    0.0%  LazyCompile: *Query.findOne /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:2289:35
      1    0.0%    0.0%  LazyCompile: *OutgoingMessage node:_http_outgoing:107:25
      1    0.0%    0.0%  LazyCompile: *ObjectID.toHexString /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/objectid.js:96:42
      1    0.0%    0.0%  LazyCompile: *Document.<computed> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:195:45
      1    0.0%    0.0%  LazyCompile: *Document.$toObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:3279:40
      1    0.0%    0.0%  LazyCompile: *CastError /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/error/cast.js:21:14
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:2001:43
      1    0.0%    0.0%  Function: ^writeOrBuffer node:internal/streams/writable:368:23
      1    0.0%    0.0%  Function: ^writeHead node:_http_server:342:19
      1    0.0%    0.0%  Function: ^write /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/cmap/connection.js:328:15
      1    0.0%    0.0%  Function: ^vary /Users/alexsandr/Downloads/blog-app_2/api/node_modules/vary/index.js:133:15
      1    0.0%    0.0%  Function: ^value /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/binary.js:234:40
      1    0.0%    0.0%  Function: ^validate /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schematype.js:1258:20
      1    0.0%    0.0%  Function: ^unenroll node:timers:79:18
      1    0.0%    0.0%  Function: ^typeis /Users/alexsandr/Downloads/blog-app_2/api/node_modules/type-is/index.js:43:17
      1    0.0%    0.0%  Function: ^toBin /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/connection/msg.js:80:8
      1    0.0%    0.0%  Function: ^socketOnDrain node:_http_server:744:23
      1    0.0%    0.0%  Function: ^setStreamTimeout node:internal/stream_base_commons:237:26
      1    0.0%    0.0%  Function: ^setHeader node:_http_outgoing:646:57
      1    0.0%    0.0%  Function: ^set node:net:2249:6
      1    0.0%    0.0%  Function: ^set /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sdam/topology.js:783:16
      1    0.0%    0.0%  Function: ^set /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sdam/server.js:431:16
      1    0.0%    0.0%  Function: ^serialize /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/bson.js:47:46
      1    0.0%    0.0%  Function: ^selectServer /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sdam/topology.js:380:15
      1    0.0%    0.0%  Function: ^runInAsyncScope node:async_hooks:197:18
      1    0.0%    0.0%  Function: ^resetId /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/objectid.js:278:17
      1    0.0%    0.0%  Function: ^release /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sessions.js:637:10
      1    0.0%    0.0%  Function: ^readUInt8 node:internal/buffer:250:19
      1    0.0%    0.0%  Function: ^readStream /Users/alexsandr/Downloads/blog-app_2/api/node_modules/raw-body/index.js:155:21
      1    0.0%    0.0%  Function: ^readStart node:_http_incoming:42:19
      1    0.0%    0.0%  Function: ^readPreferenceServerSelector /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sdam/server_selection.js:178:38
      1    0.0%    0.0%  Function: ^query /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/wireprotocol/query.js:14:15
      1    0.0%    0.0%  Function: ^processWaitQueue /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/cmap/connection_pool.js:447:26
      1    0.0%    0.0%  Function: ^peekFront /Users/alexsandr/Downloads/blog-app_2/api/node_modules/denque/index.js:68:48
      1    0.0%    0.0%  Function: ^onwrite node:internal/streams/writable:428:17
      1    0.0%    0.0%  Function: ^onStreamRead node:internal/stream_base_commons:167:22
      1    0.0%    0.0%  Function: ^onData /Users/alexsandr/Downloads/blog-app_2/api/node_modules/raw-body/index.js:254:19
      1    0.0%    0.0%  Function: ^normalizeType /Users/alexsandr/Downloads/blog-app_2/api/node_modules/type-is/index.js:237:24
      1    0.0%    0.0%  Function: ^normalizeEncoding node:string_decoder:62:27
      1    0.0%    0.0%  Function: ^nextTick node:internal/process/task_queues:103:18
      1    0.0%    0.0%  Function: ^nextFunction /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/cursor.js:706:22
      1    0.0%    0.0%  Function: ^module.exports /Users/alexsandr/Downloads/blog-app_2/api/node_modules/sliced/index.js:11:27
      1    0.0%    0.0%  Function: ^model /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/model.js:4911:27
      1    0.0%    0.0%  Function: ^maybeReadMore node:internal/streams/readable:657:23
      1    0.0%    0.0%  Function: ^maybePromise /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/utils.js:679:22
      1    0.0%    0.0%  Function: ^maxWireVersion /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/utils.js:72:24
      1    0.0%    0.0%  Function: ^isUint8Array node:internal/util/types:13:22
      1    0.0%    0.0%  Function: ^isTraceHTTPEnabled node:internal/http:40:28
      1    0.0%    0.0%  Function: ^isSelected /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:2101:52
      1    0.0%    0.0%  Function: ^isBuffer node:buffer:554:36
      1    0.0%    0.0%  Function: ^hasSessionSupport /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/wireprotocol/command.js:155:27
      1    0.0%    0.0%  Function: ^hasSessionSupport /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sdam/topology.js:467:20
      1    0.0%    0.0%  Function: ^handle /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/layer.js:86:49
      1    0.0%    0.0%  Function: ^handle /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:136:31
      1    0.0%    0.0%  Function: ^getcontenttype /Users/alexsandr/Downloads/blog-app_2/api/node_modules/content-type/index.js:177:25
      1    0.0%    0.0%  Function: ^getTimerDuration node:internal/timers:393:26
      1    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:714:57
      1    0.0%    0.0%  Function: ^getCodec /Users/alexsandr/Downloads/blog-app_2/api/node_modules/iconv-lite/lib/index.js:63:35
      1    0.0%    0.0%  Function: ^get session /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/operations/operation.js:43:14
      1    0.0%    0.0%  Function: ^get serverSession /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sessions.js:112:20
      1    0.0%    0.0%  Function: ^get node:net:698:16
      1    0.0%    0.0%  Function: ^get node:internal/streams/writable:846:8
      1    0.0%    0.0%  Function: ^get node:internal/streams/writable:790:8
      1    0.0%    0.0%  Function: ^get node:internal/streams/readable:1236:18
      1    0.0%    0.0%  Function: ^get hasSubscribers node:diagnostics_channel:199:21
      1    0.0%    0.0%  Function: ^get hasDataBearingServers /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/sdam/topology_description.js:284:28
      1    0.0%    0.0%  Function: ^get /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/db.js:278:16
      1    0.0%    0.0%  Function: ^get /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/db.js:244:16
      1    0.0%    0.0%  Function: ^fromString node:buffer:476:20
      1    0.0%    0.0%  Function: ^flow node:internal/streams/readable:1061:14
      1    0.0%    0.0%  Function: ^firstchar /Users/alexsandr/Downloads/blog-app_2/api/node_modules/body-parser/lib/types/json.js:188:20
      1    0.0%    0.0%  Function: ^fastparse /Users/alexsandr/Downloads/blog-app_2/api/node_modules/parseurl/index.js:95:20
      1    0.0%    0.0%  Function: ^exports.get /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mpath/lib/index.js:39:23
      1    0.0%    0.0%  Function: ^executeCallback /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/operations/execute_operation.js:57:29
      1    0.0%    0.0%  Function: ^execute /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/operations/insert_one.js:15:10
      1    0.0%    0.0%  Function: ^exec /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/query.js:4494:37
      1    0.0%    0.0%  Function: ^encodeUrl /Users/alexsandr/Downloads/blog-app_2/api/node_modules/encodeurl/index.js:56:20
      1    0.0%    0.0%  Function: ^done /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/core/cursor.js:452:18
      1    0.0%    0.0%  Function: ^doWrite node:internal/streams/writable:401:17
      1    0.0%    0.0%  Function: ^dirname node:path:1274:10
      1    0.0%    0.0%  Function: ^detachSocket node:_http_server:293:62
      1    0.0%    0.0%  Function: ^deserializeObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:43:33
      1    0.0%    0.0%  Function: ^deserialize /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:19:27
      1    0.0%    0.0%  Function: ^defaultId /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/schema/objectid.js:272:19
      1    0.0%    0.0%  Function: ^decorateCommand /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/utils.js:236:31
      1    0.0%    0.0%  Function: ^debug /Users/alexsandr/Downloads/blog-app_2/api/node_modules/body-parser/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.0%  Function: ^createWriteWrap node:internal/stream_base_commons:109:25
      1    0.0%    0.0%  Function: ^createHtmlDocument /Users/alexsandr/Downloads/blog-app_2/api/node_modules/finalhandler/index.js:43:29
